01_latin_order,02_latin_tokens,03_eng_direct_tokens,1656_en,1743_en,1872_en,1886_en,1916_en,1936_en,full_list,nr_of_words,uniques
127.0,naturam,nature,nature,nature’s,nature,,cosmos,nature,"['nature', 'nature’s', 'nature', 0, 'cosmos', 'nature']",5.0,3.0
149.0,versibus,verses,,lays,verse,verses,verse,verses,"[0, 'lays', 'verse', 'verses', 'verse', 'verses']",5.0,3.0
182.0,moenera,"rewards, gift, duty",,tumults,arts,works,works,works,"[0, 'tumults', 'arts', 'works', 'works', 'works']",5.0,3.0
211.0,se,himself,his,he,,himself,his,himself,"['his', 'he', 0, 'himself', 'his', 'himself']",5.0,3.0
212.0,reiicit,rejects,resting,,o'erpowered,flings,flings,flings,"['resting', 0, ""o'erpowered"", 'flings', 'flings', 'flings']",5.0,3.0
223.0,pascit,feeds,feeds,sucks,feeding,feeds,,feeds,"['feeds', 'sucks', 'feeding', 'feeds', 0, 'feeds']",5.0,3.0
267.0,animo,animated,,strains,mind,mind,thought,mind,"[0, 'strains', 'mind', 'mind', 'thought', 'mind']",5.0,3.0
5.0,voluptas,delight,joy,delight,joy,darling,delight,joy,"['joy', 'delight', 'joy', 'darling', 'delight', 'joy']",6.0,3.0
10.0,labentia,to glide,move,rolling,gliding,gliding,gliding,gliding,"['move', 'rolling', 'gliding', 'gliding', 'gliding', 'gliding']",6.0,3.0
16.0,terras,earth,earth,earth,lands,lands,lands,land,"['earth', 'earth', 'lands', 'lands', 'lands', 'land']",6.0,3.0
17.0,frugiferentis,fruitbearing,corn-bearing,fruitful,corn-bearing,corn-bearing,fruitful,bears,"['corn-bearing', 'fruitful', 'corn-bearing', 'corn-bearing', 'fruitful', 'bears']",6.0,3.0
22.0,genus,"origin, race, stock",things,kind,things,kind,things,tribe,"['things', 'kind', 'things', 'kind', 'things', 'tribe']",6.0,3.0
25.0,concipitur,"take up, take in, take",conceiv'd,conceive,conceived,conceived,conceived,conceived,"[""conceiv'd"", 'conceive', 'conceived', 'conceived', 'conceived', 'conceived']",6.0,3.0
30.0,te,you (acc),o,thee,thee,thee,thee,thou,"['o', 'thee', 'thee', 'thee', 'thee', 'thou']",6.0,3.0
47.0,rident,"to smile, to laugh (3rd plural)",smile,smiles,smile,laugh,smile,smile,"['smile', 'smiles', 'smile', 'laugh', 'smile', 'smile']",6.0,3.0
54.0,caelum,celestial,heavens,sky,sky,heaven,sky,sky,"['heavens', 'sky', 'sky', 'heaven', 'sky', 'sky']",6.0,3.0
72.0,diva,a goddess  / deity,goddess,goddess,goddess,lady,divine,goddess,"['goddess', 'goddess', 'goddess', 'lady', 'divine', 'goddess']",6.0,3.0
81.0,ferae,"a wild beast, wild animal",savage,savage,untamed,wild,wild,wild,"['savage', 'savage', 'untamed', 'wild', 'wild', 'wild']",6.0,3.0
82.0,pecudes,cattle,bruits,beasts,herds,herds,herds,beasts,"['bruits', 'beasts', 'herds', 'herds', 'herds', 'beasts']",6.0,3.0
84.0,pabula," fodder, pasturage, grass",meads,fields,pastures,pastures,fields,pastures,"['meads', 'fields', 'pastures', 'pastures', 'fields', 'pastures']",6.0,3.0
89.0,amnis,river,streams,streams,streams,rivers,torrents,rivers,"['streams', 'streams', 'streams', 'rivers', 'torrents', 'rivers']",6.0,3.0
101.0,per,by ,through,in,through,throughout,through,through,"['through', 'in', 'through', 'throughout', 'through', 'through']",6.0,3.0
105.0,fluviosque,rivers,rivers,floods,streams,rivers,streams,rivers,"['rivers', 'floods', 'streams', 'rivers', 'streams', 'rivers']",6.0,3.0
111.0,virentis,green,verdant,verdant,verdant,grassy,greening,verdant,"['verdant', 'verdant', 'verdant', 'grassy', 'greening', 'verdant']",6.0,3.0
116.0,pectora,the chests,breast,breast,breast,breasts,breast,hearts,"['breast', 'breast', 'breast', 'breasts', 'breast', 'hearts']",6.0,3.0
121.0,generatim,"kind, specie",off-spring,kind,tribes,kind,kind,kind,"['off-spring', 'kind', 'tribes', 'kind', 'kind', 'kind']",6.0,3.0
145.0,te,you (acc),thine,thee,thou,thee,thee,thou,"['thine', 'thee', 'thou', 'thee', 'thee', 'thou']",6.0,3.0
165.0,omni,all,eternal,every,every,every,every,all,"['eternal', 'every', 'every', 'every', 'every', 'all']",6.0,3.0
183.0,militiai,of war,wars,war,war,war,war,warfare,"['wars', 'war', 'war', 'war', 'war', 'warfare']",6.0,3.0
199.0,quoniam,"for, since",since,because,since,that,since,since,"['since', 'because', 'since', 'that', 'since', 'since']",6.0,3.0
200.0,belli,war,wars,war,war,war,battle,war,"['wars', 'war', 'war', 'war', 'battle', 'war']",6.0,3.0
215.0,vulnere,wound,wounds,pains,wound,wound,wound,wound,"['wounds', 'pains', 'wound', 'wound', 'wound', 'wound']",6.0,3.0
224.0,amore,love ,amorous,love,love,love,love,with,"['amorous', 'love', 'love', 'love', 'love', 'with']",6.0,3.0
243.0,sancto,holy,sacred,heavenly,sacred,holy,holy,sacred,"['sacred', 'heavenly', 'sacred', 'holy', 'holy', 'sacred']",6.0,3.0
254.0,romanis,Romans,rome,rome,Rome,romans,romans,romans,"['rome', 'rome', 'Rome', 'romans', 'romans', 'romans']",6.0,3.0
259.0,nos,of us,we,i,I,we,i,we,"['we', 'i', 'I', 'we', 'i', 'we']",6.0,3.0
265.0,possumus,can,can,can,Can,can,may,can,"['can', 'can', 'Can', 'can', 'may', 'can']",6.0,3.0
86.0,et,and,,,,,or,and,"[0, 0, 0, 0, 'or', 'and']",2.0,2.0
171.0,quo,"where, for, why",,,,wherefore,,therefore,"[0, 0, 0, 'wherefore', 0, 'therefore']",2.0,2.0
32.0,te,you (acc),,thee,thee,,,thou,"[0, 'thee', 'thee', 0, 0, 'thou']",3.0,2.0
37.0,caeli,celestial,skies,,,heaven,,heaven,"['skies', 0, 0, 'heaven', 0, 'heaven']",3.0,2.0
58.0,species,"face, a sight, look, view (sg fem, nom)",,,,aspect,face,face,"[0, 0, 0, 'aspect', 'face', 'face']",3.0,2.0
103.0,ac,and (from atque),and,in,,,,and,"['and', 'in', 0, 0, 0, 'and']",3.0,2.0
115.0,per,through,,,to,into,,into,"[0, 0, 'to', 'into', 0, 'into']",3.0,2.0
139.0,neque,nothing,,nothing,aught,nothing,,,"[0, 'nothing', 'aught', 'nothing', 0, 0]",3.0,2.0
159.0,nostro,our,,my,,our,,my,"[0, 'my', 0, 'our', 0, 'my']",3.0,2.0
172.0,magis,more,,,rather,more,,more,"[0, 0, 'rather', 'more', 0, 'more']",3.0,2.0
174.0,da,give,,give,give,lend,,,"[0, 'give', 'give', 'lend', 0, 0]",3.0,2.0
180.0,interea,meantime,,,meanwhile,meanwhile,,meantime,"[0, 0, 'meanwhile', 'meanwhile', 0, 'meantime']",3.0,2.0
237.0,hunc,him,,he,,,him,he,"[0, 'he', 0, 0, 'him', 'he']",3.0,2.0
244.0,circum,"round, around",,round,,about,round,,"[0, 'round', 0, 'about', 'round', 0]",3.0,2.0
272.0,talibus,such,such,such,,,this,,"['such', 'such', 0, 0, 'this', 0]",3.0,2.0
12.0,quae,who,,who,,who,that,who,"[0, 'who', 0, 'who', 'that', 'who']",4.0,2.0
80.0,inde,"Of place, from that place, thence",then,then,,next,,then,"['then', 'then', 0, 'next', 0, 'then']",4.0,2.0
154.0,rerum,things,works,,things,things,,things,"['works', 0, 'things', 'things', 0, 'things']",4.0,2.0
